Magazine,Issue,Date,Type,Source,Quote,Purpose,Article Name
Dabiq,1,Jun-14,Jihadist,Abu Mus'ab az-Zarqawi,"The spark has been lit here in Iraq, and its heat will continue to intensify – by Allah’s permission – until it burns the crusader armies in Dabiq.",Support,First Page
Dabiq,1,Jun-14,Hadith,Sahih Muslim,"The Hour will not be established until the Romans land at al-A’maq or Dabiq (two places near each other in the northern countryside of Halab). Then an army from al-Madinah of the best people on the earth at that time will leave for them. When they line up in ranks, the Romans will say, Leave us and those who were taken as prisoners from amongst us so we can fight them.’ The Muslims will say, Nay, by Allah, we will not abandon our brothers to you.’ So they will fight them. Then one third of them will flee; Allah will never forgive them. One third will be killed; they will be the best martyrs with Allah. And one third will conquer them; they will never be afflicted with fitnah. Then they will conquer Constantinople. While they are dividing the war booty, having hung their swords on olive trees, Shaytan will shout, The [false] Messiah has followed after your families [who were left behind.]’ So they will leave [for their families], but Shaytan’s claim is false. When they arrive to Sham he comes out. Then while they are preparing for battle and filing their ranks, the prayer is called. So Isa Ibn Maryam (alayhis-Salam) will descend and lead them. When the enemy of Allah sees him, he will melt as salt melts in water. If he were to leave him, he would melt until he perished, but he kills him with his own hand, and then shows them his blood upon his spear",Support,Introduction
Dabiq,1,Jun-14,Jihadist,Abu Mus'ab az-Zarqawi,"The spark has been lit here in Iraq, and its heat will continue to intensify – by Allah’s permission – until it burns the crusader armies in Dabiq",Support,Introduction
Dabiq,1,Jun-14,Jihadist,Abu Bakr al-Baghdadi,"O Muslims everywhere, glad tidings to you and expect good. Raise your head high, for today – by Allah’s grace – you have a state and Khilafah, which will return your dignity, might, rights, and leadership. It is a state where the Arab and non-Arab, the white man and black man, the easterner and westerner are all brothers. It is a Khilafah that gathered the Caucasian, Indian, Chinese, Shami, Iraqi, Yemeni, Egyptian, Maghribi (North African), American, French, German, and Australian. Allah brought their hearts together, and thus, they became brothers by His grace, loving each other for the sake of Allah, standing in a single trench, defending and guarding each other, and sacrificing themselves for one another. Their blood mixed and became one, under a single flag and goal, in one pavilion, enjoying this blessing, the blessing of faithful brotherhood. If kings were to taste this blessing, they would abandon their kingdoms and fight over this grace. So all praise and thanks are due to Allah. Soon, by Allah’s permission, a day will come when the Muslim will walk everywhere as a master, having honor, being revered, with his head raised high and his dignity preserved. Anyone who dares to offend him will be disciplined, and any hand that reaches out to harm him will be cut off. So let the world know that we are living today in a new era. Whoever was heedless must now be alert. Whoever was sleeping must now awaken. Whoever was shocked and amazed must comprehend. The Muslims today have a loud, thundering statement, and possess heavy boots. They have a statement to make that will cause the world to hear and understand the meaning of terrorism, and boots that will trample the idol of nationalism, destroy the idol of democracy, and uncover its deviant nature. The time has come for those generations that were drowning in oceans of disgrace, being nursed on the milk of humiliation, and being ruled by the vilest of all people, after their long slumber in the darkness of neglect – the time has come for them to rise. The time has come for the Ummah of Muhammad (sallallahu alayhi wa sallam) to wake up from its sleep, remove the garments of dishonor, and shake off the dust of humiliation and disgrace, for the era of lamenting and moaning has gone, and the dawn of honor has emerged anew. The sun of jihad has risen. The glad tidings of good are shining. Triumph looms on the horizon. The signs of victory have appeared.",Support,Khilafah Declared
Dabiq,1,Jun-14,Jihadist,Abu Bakr al-Baghdadi,"O Ummah of Islam, indeed the world today has been divided into two camps and two trenches, with no third camp present: The camp of Islam and faith, and the camp of kufr (disbelief) and hypocrisy – the camp of the Muslims and the mujahidin everywhere, and the camp of the jews, the crusaders, their allies, and with them the rest of the nations and religions of kufr, all being led by America and Russia, and being mobilized by the jews.",Support,The World has Divided into Two Camps
Dabiq,1,Jun-14,Jihadist,Abu Bakr al-Baghdadi,"Therefore, rush O Muslims to your state. Yes, it is your state. Rush, because Syria is not for the Syrians, and Iraq is not for the Iraqis. The earth is Allah’s. {Indeed, the earth belongs to Allah. He causes to inherit it whom He wills of His servants. And the [best] outcome is for the righteous} [Al-A’raf: 128]. The State is a state for all Muslims. The land is for the Muslims, all the Muslims. O Muslims everywhere, whoever is capable of performing hijrah (emigration) to the Islamic State, then let him do so, because hijrah to the land of Islam is obligatory.",Support,A Call to Hijrah
Dabiq,1,Jun-14,Jihadist,Abu Bakr al-Baghdadi,"We make a special call to the scholars, fuqaha’ (experts in Islamic jurisprudence), and callers, especially the judges, as well as people with military, administrative, and service expertise, and medical doctors and engineers of all different specializations and fields. We call them and remind them to fear Allah, for their emigration is wajib ayni (an individual obligation), so that they can answer the dire need of the Muslims for them. People are ignorant of their religion and they thirst for those who can teach them and help them understand it. So fear Allah, O slaves of Allah.",Support,"A Call to all Muslim Doctors, Engineers, Scholars, and Specialists"
Dabiq,1,Jun-14,Hadith,Al-Hakim,"Abdullah Ibn Amr narrated that the Prophet (sallallahu alayhi wa sallam) said, Indeed a man’s iman (faith) becomes worn out within him just as a garment becomes worn out, so ask Allah to renew the iman in your heart.",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Qur'an,an-Nahl 94,"{And do not be like the one who undoes the thread which she has spun after it has become strong, by taking your oaths as a means of deception among yourselves when one group is more numerous than another group. Allah tests you by this. And on the Day of Resurrection, He will certainly clarify that which you differed over.} [AnNahl: 94]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Tafsir,No Source Given,"In explaining this verse, the scholars of tafsir stated, This was a foolish woman in Makkah. Every time she spun some thread and made it strong, she would undo it again.",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
