Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,Area,DayofWkListed,MonthListed,YearListed,SqFt,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths
815 E Lakeshore Dr ,Storm Lake,5,16405,4010,1991,645/645,     East,4,1,2008,69.83,550000,299900,280000,4,4,0,0,0
307 Lake Ave ,Storm Lake,4,14000,3412,1907,12-Dec,     East,1,12,2007,45.72,162000,162000,156000,2,2,0,0,0
800 Meadow Ln ,Storm Lake,3,14000,1562,1981,54/54,     East,5,11,2007,130.6,217000,217000,204000,3,3,0,0,0
1308 Poplar Ln ,Storm Lake,3,13500,1872,1977,147/147,     East,5,1,2008,80.13,174900,159500,150000,3,2,0,0,1
1420 N Seneca St ,Storm Lake,4,8475,,2007,120/120,     East,1,3,2008,,149800,149800,158598,3,2,0,1,0
1 Colonial Cir ,Storm Lake,3,21702,2642,1953,68/68,     East,3,2,2008,81.38,225000,225000,215000,2,1,1,0,0
705 Maywood Dr ,Storm Lake,4,9603,1300,2007,3-Mar,     East,1,12,2007,126.92,165000,165000,165000,2,2,0,0,0
518 Expansion Blvd ,Storm Lake,4,9600,1560,2007,80/80,     East,2,4,2008,107.69,168000,168000,168000,3,3,0,0,0
1104 Kelvin Rd ,Storm Lake,4,10400,1515,1974,9-Sep,     East,3,2,2008,113.53,172000,172000,172000,2,1,1,0,0
709 Maywood Dr ,Storm Lake,4,,1300,2008,3-Mar,     East,3,2,2008,127.31,165500,165500,165500,2,1,1,0,0
1209 N Oneida St ,Storm Lake,4,10875,1826,1978,110/110,     East,3,10,2008,84.06,164900,164900,153500,4,4,0,0,0
804 Clover Ln ,Storm Lake,3,14000,1344,1979,44/44,     East,5,8,2008,148.81,212000,207500,200000,2,1,1,0,0
704 Clover Ln ,Storm Lake,3,14000,1327,1980,32/32,     East,3,9,2008,118.69,169900,169900,157500,2,2,0,0,0
105 Spring Ct ,Storm Lake,2,8624,1308,1979,6-Jun,     East,3,10,2008,192.66,259000,259000,252000,2,1,0,1,0
102 Mallard Dr ,Storm Lake,4,23178,3274,1990,294/571,     East,4,11,2008,73.3,339000,299000,240000,4,3,0,1,0
825 Angier Dr ,Storm Lake,3,12971,1855,1970,315/315,     East,5,3,2009,88.95,197900,180000,165000,3,2,0,1,0
1110 Lincoln Rd ,Storm Lake,4,14311,1954,1972,148/148,     East,2,1,2009,81.88,179000,179000,160000,4,3,0,1,0
700 Clover Lane ,Storm Lake,3,15400,1968,1994,103/103,     East,4,1,2009,94,212500,200000,185000,3,3,0,0,0
1303 Shoreway Rd ,Storm Lake,4,7525,2128,1946,30/30,     East,5,11,2008,74.01,165000,165000,157500,3,3,0,0,0
1000 Kelvin ,Storm Lake,3,10400,2038,1954,0/0,     East,5,6,2009,82.68,175000,175000,168500,2,2,0,0,0
701 Prairie Ln ,Storm Lake,5,15744,1878,2008,32/32,     East,2,8,2009,148.83,279500,279500,279500,3,3,0,0,0
1401 W 5th St ,Storm Lake,3,18227,1972,1957,321/321,     East,2,12,2009,77.59,189900,176900,153000,2,2,0,0,0
312 Lake Ave ,Storm Lake,4,10400,2980,1923,128/128,     East,5,10,2009,55.37,185000,185000,165000,2,2,0,0,0
601 Lincoln Rd ,Storm Lake,4,9741,1453,2004,374/374,     East,2,8,2010,114.25,195000,175000,166000,3,2,1,0,0
920 Emerald Dr ,Storm Lake,3,13395,2172,1956,138/138,     East,5,1,2010,91.16,209500,199500,198000,3,2,0,0,1
198 Daphne ,Storm Lake,3,25942,1386,2007,289/289,     East,5,6,2010,115.44,176900,167500,160000,2,1,1,0,0
716 Meadow Ln ,Storm Lake,3,14000,1859,1981,260/260,     East,3,6,2010,95.75,187900,183500,178000,3,2,1,0,0
906 Evergreen ,Storm Lake,4,13513,1296,2009,77/77,     East,1,11,2009,142.75,186000,186000,185000,3,2,1,0,0
1104 Kelvin Rd ,Storm Lake,4,10400,1524,1974,148/148,     East,3,3,2010,103.67,165000,163000,158000,3,2,0,1,0
813 E Lakeshore Dr #1 ,Storm Lake,1,16366,1851,1991,363/363,     East,5,10,2010,117.77,269000,239000,218000,1,1,0,0,0
805 Kelvin Rd ,Storm Lake,2,17325,1870,1993,79/79,     East,1,4,2010,103.48,198500,198500,193500,3,2,0,1,0
713 Prairie Ln ,Storm Lake,5,14330,1902,2005,30/30,     East,1,3,2010,135.12,264500,264500,257000,4,3,0,1,0
701 Clover Ln ,Storm Lake,4,17780,1939,1996,31/31,     East,4,4,2010,128.93,259500,259500,250000,3,2,1,0,0
905 N Walnut St ,Storm Lake,4,9005,2188,1968,55/55,     East,1,6,2010,76.1,169500,169500,166500,3,2,0,0,1
912 Kelvin Rd ,Storm Lake,5,15382,2334,2000,20/20,     East,4,6,2010,104.97,267500,267500,245000,4,3,0,1,0
909 N Mae St ,Storm Lake,5,9014,2240,1976,57/57,     East,2,7,2010,75.89,174900,174900,170000,3,2,0,1,0
226 Geneseo ,Storm Lake,5,12600,3582,1895,88/88,     East,5,10,2010,50.25,197000,190000,180000,5,5,0,0,0
608 Lakeview Ln ,Storm Lake,4,14978,1924,1990,45/45,     East,5,7,2010,91.48,179900,179900,176000,2,2,0,0,0
303 E Lakeshore Dr ,Storm Lake,4,16590,2754,1925,0/0,     East,5,7,2010,90.78,274950,274950,250000,3,2,0,0,1
712 Emerald Dr ,Storm Lake,4,18360,2260,1977,37/37,     East,4,9,2010,86.28,209500,209500,195000,3,3,0,0,0
193 South Shore Dr ,Storm Lake,2,24413,1690,1956,1224/1224,     East,5,9,2011,176.04,410000,340000,297500,2,2,0,0,0
1107 Lincoln Rd ,Storm Lake,3,15300,1664,1972,413/413,     East,5,10,2010,97.66,179900,162500,162500,2,2,0,0,0
