,Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,DayofWkListed,MonthListed,YearListed,Date,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths,lat,lon
0,815 E Lakeshore Dr ,Storm Lake,5,16405,4010,1991,645/645,4,1,2008,1/31/2008,550000,299900,280000,4,4,0,0,0,42.6359485019541,-95.1901057042011
1,307 Lake Ave ,Storm Lake,4,14000,3412,1907,12-Dec,1,12,2007,12/31/2007,162000,162000,156000,2,2,0,0,0,42.6395688538975,-95.2008121517731
2,800 Meadow Ln ,Storm Lake,3,14000,1562,1981,54/54,5,11,2007,11/16/2007,217000,217000,204000,3,3,0,0,0,42.6320473878516,-95.2428877684723
3,1308 Poplar Ln ,Storm Lake,3,13500,1872,1977,147/147,5,1,2008,1/4/2008,174900,159500,150000,3,2,0,0,1,42.6449933335467,-95.1847153615956
5,1 Colonial Cir ,Storm Lake,3,21702,2642,1953,68/68,3,2,2008,2/13/2008,225000,225000,215000,2,1,1,0,0,42.6467979,-95.2179697
6,705 Maywood Dr ,Storm Lake,4,9603,1300,2007,3-Mar,1,12,2007,12/3/2007,165000,165000,165000,2,2,0,0,0,42.6527700051953,-95.1922661916121
7,518 Expansion Blvd ,Storm Lake,4,9600,1560,2007,80/80,2,4,2008,4/15/2008,168000,168000,168000,3,3,0,0,0,42.6440484097374,-95.1792119478883
8,1104 Kelvin Rd ,Storm Lake,4,10400,1515,1974,9-Sep,3,2,2008,2/13/2008,172000,172000,172000,2,1,1,0,0,42.6282929333806,-95.2390324059681
10,1209 N Oneida St ,Storm Lake,4,10875,1826,1978,110/110,3,10,2008,10/1/2008,164900,164900,153500,4,4,0,0,0,42.6528356541714,-95.1949580478741
11,804 Clover Ln ,Storm Lake,3,14000,1344,1979,44/44,5,8,2008,8/29/2008,212000,207500,200000,2,1,1,0,0,42.6321085772581,-95.2416323806917
12,704 Clover Ln ,Storm Lake,3,14000,1327,1980,32/32,3,9,2008,9/3/2008,169900,169900,157500,2,2,0,0,0,42.6308725101919,-95.24158071581
15,825 Angier Dr ,Storm Lake,3,12971,1855,1970,315/315,5,3,2009,3/6/2009,197900,180000,165000,3,2,0,1,0,42.6468365039663,-95.2246943161423
16,1110 Lincoln Rd ,Storm Lake,4,14311,1954,1972,148/148,2,1,2009,1/13/2009,179000,179000,160000,4,3,0,1,0,42.6513996769703,-95.1935876699049
17,700 Clover Lane ,Storm Lake,3,15400,1968,1994,103/103,4,1,2009,1/29/2009,212500,200000,185000,3,3,0,0,0,42.630823,-95.24158
18,1303 Shoreway Rd ,Storm Lake,4,7525,2128,1946,30/30,5,11,2008,11/21/2008,165000,165000,157500,3,3,0,0,0,42.643238,-95.2245329
19,1000 Kelvin ,Storm Lake,3,10400,2038,1954,0/0,5,6,2009,6/12/2009,175000,175000,168500,2,2,0,0,0,42.6306973387274,-95.2390763476442
20,701 Prairie Ln ,Storm Lake,5,15744,1878,2008,32/32,2,8,2009,8/18/2009,279500,279500,279500,3,3,0,0,0,42.631797,-95.243925
21,1401 W 5th St ,Storm Lake,3,18227,1972,1957,321/321,2,12,2009,12/1/2009,189900,176900,153000,2,2,0,0,0,42.644437,-95.2192228882978
22,312 Lake Ave ,Storm Lake,4,10400,2980,1923,128/128,5,10,2009,10/30/2009,185000,185000,165000,2,2,0,0,0,42.6396517137297,-95.2010351473243
23,601 Lincoln Rd ,Storm Lake,4,9741,1453,2004,374/374,2,8,2010,8/10/2010,195000,175000,166000,3,2,1,0,0,42.6534822,-95.1924039
