Dept,Position,Age ,Job title,Org Text,Org.unit,Supv,Gen.,Hire Date,LOS,Ethnic Text,ESgrp
531B,11072901,43,Frzr Warehouse,Storm Lake Loadout #1 (B),10253799,Ryan M Bailey,M,7/24/2007,10,Hispanic or Latino,10
726,11243198,39,No Jobber,Storm Lake Bone Cannon (A),10253856,Abel Saengchanpheng,F,3/9/2006,11,Hispanic or Latino,10
923,11246372,61,Whiz Belly,Storm Lake Commodity Bellies (B),10253795,Josh M Zimmer,F,9/21/2015,2,Asian (NHL),10
407,11308525,37,Maintenance Generalist Cl,Storm Lake Maint Cold Side N2 (B),11201789,Robert Yearicks,M,5/1/2017,0,White (NHL),10
965,11025873,35,No Jobber,Storm Lake Loin Boning (B),10251640,Amphone Keopaseuth,M,6/26/2017,0,Black or African American (NHL),10
925,11053368,35,Hang Hms/Algn Ft Saw,Storm Lake Cut Boning (B),10253871,Matthew Peterson,F,1/20/2009,8,Black or African American (NHL),10
200,90125031,55,Sticker,Storm Lake Yards (A) - Hourly,10488849,Bart B Sandgren,M,9/25/2001,16,Hispanic or Latino,10
712,11314837,39,Relief Operator Grade 5,Storm Lake Center Chain (A),10253789,Heriberto A Rojas-Soto,M,9/30/2003,14,Hispanic or Latino,10
912,11268822,49,Open Hog Cut Pizzle Opr,Storm Lake Center Chain #1 (B),10253791,Yosmil L Santana Arias,M,8/6/2001,16,Hispanic or Latino,10
913,90130695,45,Exps Kdney/Remv Hook,Storm Lake Center Chain #2 (B),10253811,Isain Jacuinde-G,F,12/26/2000,16,Hispanic or Latino,10
711,90127453,51,Trans Index Hogs,Storm Lake Shave Chain (A),10250662,Jose M Padilla-Vega,M,10/8/1996,20,Hispanic or Latino,10
725,11049606,55,No Jobber,Storm Lake Picnic Boning (A),10252723,Cynthia G Trujillo,F,11/12/2013,3,Hispanic or Latino,10
769,11285756,48,Relief Operator Grade 3,Storm Lake Retrim Pack Off (A),11242094,Jorge M Gonzalez-Lopez,M,3/4/2008,9,Hispanic or Latino,10
711,90128315,59,Shave Side,Storm Lake Shave Chain (A),10250662,Jose M Padilla-Vega,M,6/16/1997,20,Asian (NHL),10
