,Address,Listing,City,Bed,Bth,Map,LotSz,SqFt,Year,DOM_CDOM,Area,Subdivision,DayofWkListed,MonthListed,YearListed,Date,SqFt.1,OrigPrice,ListPrice,SellingPrice,SPLP,Unnamed: 21,total_baths,full_baths,three_q_baths,half_baths,q_baths,coords,lat,lon
0,815 E Lakeshore Dr , 44012132  ,Storm Lake,5 ,4 (4 0 0 0)  ,",",16405.0,4010.0,1991,645/645,     East,  ,4,1,2008,1/31/2008, 69.83,550000,299900,280000,   93.36,39478,4,4,0,0,0,"(42.6359485019541, -95.1901057042011)",42.6359485019541,-95.1901057042011
1,307 Lake Ave , 44012256  ,Storm Lake,4 ,2 (2 0 0 0)  ,",",14000.0,3412.0,1907,12-Dec,     East,  ,1,12,2007,12/31/2007, 45.72,162000,162000,156000,   96.30,39447,2,2,0,0,0,"(42.6395688538975, -95.2008121517731)",42.6395688538975,-95.2008121517731
2,800 Meadow Ln , 44012644  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",14000.0,1562.0,1981,54/54,     East,  ,5,11,2007,11/16/2007, 130.60,217000,217000,204000,   94.01,39402,3,3,0,0,0,"(42.6320473878516, -95.2428877684723)",42.6320473878516,-95.2428877684723
3,1308 Poplar Ln , 44012701  ,Storm Lake,3 ,3 (2 0 0 1)  ,",",13500.0,1872.0,1977,147/147,     East,  ,5,1,2008,1/4/2008, 80.13,174900,159500,150000,   94.04,39451,3,2,0,0,1,"(42.6449933335467, -95.1847153615956)",42.6449933335467,-95.1847153615956
5,1 Colonial Cir , 44012804  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",21702.0,2642.0,1953,68/68,     East,  ,3,2,2008,2/13/2008, 81.38,225000,225000,215000,   95.56,39491,2,1,1,0,0,"(42.6467979, -95.2179697)",42.6467979,-95.2179697
6,705 Maywood Dr , 44012826  ,Storm Lake,4 ,2 (2 0 0 0)  ,",",9603.0,1300.0,2007,3-Mar,     East,  ,1,12,2007,12/3/2007, 126.92,165000,165000,165000,  100.00,39419,2,2,0,0,0,"(42.6527700051953, -95.1922661916121)",42.6527700051953,-95.1922661916121
7,518 Expansion Blvd , 44012867  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",9600.0,1560.0,2007,80/80,     East,  ,2,4,2008,4/15/2008, 107.69,168000,168000,168000,  100.00,39553,3,3,0,0,0,"(42.6440484097374, -95.1792119478883)",42.6440484097374,-95.1792119478883
8,1104 Kelvin Rd , 44012871  ,Storm Lake,4 ,2 (1 1 0 0)  ,",",10400.0,1515.0,1974,9-Sep,     East,  ,3,2,2008,2/13/2008, 113.53,172000,172000,172000,  100.00,39491,2,1,1,0,0,"(42.6282929333806, -95.2390324059681)",42.6282929333806,-95.2390324059681
10,1209 N Oneida St , 44013036  ,Storm Lake,4 ,4 (4 0 0 0)  ,",",10875.0,1826.0,1978,110/110,     East,  ,3,10,2008,10/1/2008, 84.06,164900,164900,153500,   93.09,39722,4,4,0,0,0,"(42.6528356541714, -95.1949580478741)",42.6528356541714,-95.1949580478741
11,804 Clover Ln , 44013097  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",14000.0,1344.0,1979,44/44,     East,  ,5,8,2008,8/29/2008, 148.81,212000,207500,200000,   96.39,39689,2,1,1,0,0,"(42.6321085772581, -95.2416323806917)",42.6321085772581,-95.2416323806917
